"","TimePeriod","position","water_year","Node","Probability_Threshold","TimePercentage","Species","Life_Stage","Hydraulic","Scenario","Suitability_Class"
"1","critical","slice1",1993,"I01-010","Low",0.0114155251141553,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"2","critical","slice1",1994,"I01-010","Low",0.296803652968037,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"3","critical","slice1",1995,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"4","critical","slice1",1996,"I01-010","Low",0.0342465753424658,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"5","critical","slice1",1997,"I01-010","Low",0.45662100456621,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"6","critical","slice1",1998,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"7","critical","slice1",1999,"I01-010","Low",0.011384335154827,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"8","critical","slice1",2000,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"9","critical","slice1",2001,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"10","critical","slice1",2002,"I01-010","Low",0.0570776255707763,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"11","critical","slice1",2003,"I01-010","Low",0.011384335154827,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"12","critical","slice1",2004,"I01-010","Low",0.23972602739726,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"13","critical","slice1",2005,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"14","critical","slice1",2006,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"15","critical","slice1",2007,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"16","critical","slice1",2008,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"17","critical","slice1",2009,"I01-010","Low",0.0342465753424658,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"18","critical","slice1",2010,"I01-010","Low",0.0799086757990868,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"19","critical","slice1",2011,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"20","critical","slice1",2012,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"21","critical","slice1",2013,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"22","critical","slice1",2014,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"23","critical","slice1",2015,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"24","critical","slice1",2016,"I01-010","Low",0.102739726027397,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"25","critical","slice1",2017,"I01-010","Low",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"26","critical","slice1",2018,"I01-010","Low",0.21551724137931,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"27","critical","slice1",1993,"I01-010","Medium",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"28","critical","slice1",1994,"I01-010","Medium",0.125570776255708,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"29","critical","slice1",1995,"I01-010","Medium",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"30","critical","slice1",1996,"I01-010","Medium",0.0114155251141553,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"31","critical","slice1",1997,"I01-010","Medium",0.273972602739726,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"32","critical","slice1",1998,"I01-010","Medium",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
"33","critical","slice1",1999,"I01-010","Medium",0,"Chub","Adult","Depth","201119_Oso,_Small_Creeks_Water_Conservation_Scenario","Low"
