"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation","code","LimitBound","Flag"
"1","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0","I01-020_slice2","Upper","No Limit"
"2","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0","I01-020_slice2","Upper","No Limit"
"3","High","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0","K01-011_slice2","Upper","No Limit"
"4","High","Chub","Adult","Depth","L01-100","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0","L01-100_slice3","Upper","No Limit"
"5","High","Chub","Adult","Depth","L02-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0","L02-010_slice2","Upper","No Limit"
"6","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0","L03-030_slice3","Upper","No Limit"
"7","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0","L03-030_slice3","Upper","No Limit"
"8","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0","L03-030_slice3","Upper","No Limit"
"9","Med","Chub","Adult","Depth","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0","M01-020_slice2","Upper","No Limit"
"10","High","Chub","Adult","Depth","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0","M01-020_slice2","Upper","No Limit"
"11","High","Chub","Adult","Depth","J01-091","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q < 0","J01-091_slice2","Upper","No Limit"
"12","Low","Chub","Adult","Velocity","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.16,1.02597128974191,"Q <= limit[1] & Q >= limit[2]","K01-011_slice2","Upper","N"
